LA Number,Establishment Number,URN,School Phase,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers (£s)
383,3926,134973,Primary,18,11,7,17.6,8.5,6.1,23.4,"£38,376"
865,3465,134977,Primary,8,5,5,5.2,2.8,1.4,20.7,"£37,722"
873,3390,134979,Primary,12,10,2,12.0,8.7,2.0,16.2,"£38,942"
839,3699,134987,Primary,33,41,19,28.3,23.6,7.0,23.1,"£39,693"
343,3380,134988,Primary,12,15,1,11.2,10.6,1.0,20.6,"£37,921"
888,4799,134989,Secondary,67,33,24,65.3,26.5,22.4,16.4,"£43,230"
333,6905,134993,Secondary,99,18,30,99.0,18.0,30.0,13.5,NA
888,4801,134994,Secondary,70,30,20,68.2,26.9,17.2,15.7,"£38,950"
888,4803,134996,Secondary,80,37,30,76.2,30.8,23.0,14.8,"£41,382"
894,3362,134999,Primary,23,24,5,21.2,19.1,4.3,20.3,"£39,593"
888,4806,135003,Secondary,87,17,37,83.2,13.2,29.9,15,"£42,662"
312,6906,135004,Secondary,22,8,21,20.6,6.0,18.0,16.9,"£49,806"
371,6905,135007,Secondary,98,16,34,90.5,14.0,31.1,13.9,"£43,200"
936,3940,135009,Primary,21,27,8,18.7,17.4,6.3,17.9,"£41,509"
888,7112,135012,Not applicable,15,65,11,15.0,56.1,4.2,8.5,"£45,659"
888,7113,135013,Not applicable,18,54,5,17.8,44.5,4.9,9.4,"£42,552"
888,7114,135014,Not applicable,11,59,6,11.0,46.2,3.7,10.2,"£46,832"
888,7115,135015,Not applicable,16,50,7,15.5,38.1,6.8,9.6,"£43,843"
335,3327,135016,Primary,12,19,2,9.5,13.2,1.7,24.3,"£43,531"
354,3512,135017,Primary,25,29,4,24.6,22.4,4.0,19.4,"£39,331"
896,3807,135019,Primary,24,23,9,20.2,18.4,6.3,23.7,"£38,282"
823,3351,135021,Primary,27,25,8,22.8,19.6,5.9,19.7,"£36,872"
333,3406,135029,Primary,20,22,5,18.4,18.6,3.8,21.7,"£34,909"
382,3410,135030,Primary,30,42,7,26.4,28.5,5.3,23.9,"£43,358"
894,3363,135031,Primary,21,37,9,19.8,28.0,4.4,22,"£39,497"
885,3010,135034,Primary,6,11,4,6.0,5.4,1.4,17,"£33,281"
885,4001,135035,Secondary,70,34,23,62.4,22.2,19.3,15.5,"£41,477"
885,3011,135036,Primary,15,37,3,13.2,17.1,2.2,19.6,"£38,556"
885,3109,135037,Primary,6,6,1,5.2,4.3,0.9,11.3,"£36,627"
885,3330,135046,Primary,12,15,4,10.3,6.1,3.5,22.8,"£40,365"
885,2907,135047,Primary,21,30,6,19.8,21.7,3.7,21.5,"£39,656"
885,3016,135048,Primary,14,17,5,11.8,8.6,2.5,19.3,"£38,256"
885,2910,135050,Primary,46,42,31,41.3,27.9,25.0,21.4,"£36,240"
885,3021,135051,Primary,24,34,5,21.4,14.4,3.6,19.5,"£37,768"
885,2911,135052,Primary,17,21,6,15.1,11.0,3.4,19.8,"£40,251"
885,3331,135057,Primary,11,14,3,11.0,12.1,2.9,18,"£37,976"
885,4503,135061,Secondary,61,18,20,55.1,14.7,17.8,14.8,"£42,141"
928,3511,135063,Primary,10,9,3,9.2,6.2,2.2,22.9,"£40,549"
929,3920,135064,Primary,3,2,1,2.4,1.6,0.6,11.7,"£40,149"
885,3400,135067,Primary,14,17,3,9.3,9.2,2.8,16.5,"£43,321"
209,6906,135070,Secondary,77,12,24,75.2,10.8,23.3,15.7,"£47,608"
355,6905,135071,Secondary,47,13,32,44.2,10.0,30.1,17.7,"£41,836"
209,6905,135073,Secondary,85,13,26,79.4,10.8,25.2,17.4,"£47,361"
885,3397,135076,Primary,23,42,7,20.6,20.8,3.9,22.3,"£37,936"
811,3509,135077,Primary,13,11,6,9.8,7.1,4.5,21.6,"£39,801"
811,3510,135078,Primary,14,20,4,12.2,11.2,2.6,22.3,"£39,224"
869,3359,135079,Primary,27,32,11,21.2,21.9,6.6,21.7,"£41,417"
869,3360,135080,Primary,21,19,11,17.0,11.8,6.6,20.9,"£38,864"
335,3329,135081,Primary,24,17,4,23.1,12.3,3.2,19,"£36,810"
919,3983,135083,Primary,18,25,8,17.2,15.5,6.0,16.4,"£37,523"
919,3984,135084,Primary,13,11,4,11.4,7.5,2.5,20,"£35,325"
343,3382,135085,Primary,12,15,2,7.7,8.4,1.6,30.4,"£42,550"
302,3520,135086,Primary,26,16,9,20.8,13.0,7.5,20.3,"£42,285"
841,3517,135088,Primary,27,17,3,26.2,14.2,3.0,22.5,"£35,694"
871,3367,135099,Primary,29,27,6,27.7,23.2,5.6,22.3,"£38,238"
886,3906,135106,Primary,24,17,5,20.8,13.3,3.9,18.5,"£39,826"
826,3389,135107,Primary,20,24,9,18.0,14.4,5.2,20.5,"£38,054"
811,3513,135115,Primary,18,27,7,16.5,15.0,4.0,25.5,"£37,358"
886,3907,135118,Primary,24,28,2,21.7,18.2,2.0,24.9,"£33,459"
831,6905,135120,Secondary,69,26,29,64.8,24.1,25.3,17.8,"£42,026"
357,4028,135122,Secondary,82,19,26,80.6,17.2,24.0,16.6,"£38,095"
886,3909,135125,Primary,21,35,8,20.6,30.4,7.8,20.9,"£38,584"
808,3397,135126,Primary,23,15,3,21.6,14.4,2.9,17.7,"£36,208"
886,3910,135130,Primary,34,39,18,29.9,33.7,15.6,19,"£35,637"
873,3942,135131,Primary,34,37,7,25.9,18.9,4.2,20.3,"£38,295"
873,3943,135132,Primary,22,32,5,17.6,15.5,2.8,22.2,"£39,718"
896,3813,135136,Primary,24,25,5,22.0,22.6,3.7,23.6,"£35,200"
334,3517,135139,Primary,35,27,8,28.7,20.1,7.0,17.6,"£39,638"
926,3431,135148,Primary,29,29,4,28.4,23.2,3.7,19.2,"£31,127"
894,6905,135149,Secondary,85,9,19,82.0,8.3,18.7,15.1,"£32,350"
383,3930,135162,Primary,18,18,7,17.0,15.1,6.1,NA,"£39,226"
886,3913,135164,Primary,11,10,2,8.6,7.4,2.0,18.6,"£41,319"
333,6906,135170,Secondary,103,7,62,99.5,6.6,58.6,14.3,"£44,347"
341,6907,135174,Secondary,72,6,20,68.4,6.0,17.5,14.5,"£41,724"
812,6905,135176,Secondary,32,7,13,31.2,5.9,11.7,20.1,"£41,810"
865,3471,135177,Primary,17,21,5,16.4,14.3,4.1,21.2,"£38,890"
320,3311,135193,Primary,23,21,7,19.7,17.3,4.3,20.2,"£43,918"
886,3916,135197,Primary,21,32,8,19.7,17.1,4.8,20,"£37,348"
